ID,target
0,C
1,A
3,D
4,B
5,C
6,C
7,D
8,C
9,A
12,D
13,C
14,D
16,A
18,B
19,A
20,A
21,A
23,B
24,D
25,C
26,A
27,A
32,D
33,A
34,A
35,A
36,A
37,B
38,D
39,A
40,A
41,D
42,C
43,C
44,A
45,A
46,C
47,C
48,C
49,C
50,C
51,A
52,A
54,B
56,D
57,A
59,D
60,A
61,A
62,B
63,B
64,B
65,D
66,D
67,D
68,D
69,A
70,A
71,D
72,A
73,D
74,A
75,B
76,B
77,A
78,B
79,B
80,A
82,D
83,A
84,A
87,C
88,C
90,B
91,A
92,D
94,A
95,D
96,D
97,A
98,A
99,D
100,C
101,D
103,C
104,D
105,A
106,B
107,D
109,D
110,B
111,C
112,A
113,D
115,C
116,A
117,D
118,B
119,D
120,A
122,A
123,A
124,D
125,C
126,B
127,B
128,B
129,B
130,C
131,D
132,D
133,A
134,A
135,A
136,D
139,A
140,A
142,D
143,C
144,B
145,B
146,A
147,A
148,C
150,D
151,B
152,A
153,D
154,D
155,A
156,A
157,A
158,C
159,C
160,A
161,A
162,A
163,C
164,D
633,B
635,A
639,A
640,C
641,A
642,A
643,A
644,B
645,C
646,C
647,B
649,D
651,A
652,A
653,A
654,A
660,D
661,A
662,B
663,D
665,A
666,D
667,A
668,A
669,D
670,A
671,D
673,A
674,A
675,D
676,A
677,C
679,A
680,A
681,D
683,A
684,A
685,B
687,A
688,C
689,D
690,A
692,B
693,A
694,A
695,D
696,D
698,D
699,C
700,C
701,A
702,C
703,A
704,D
705,A
706,A
707,D
708,D
709,B
710,D
711,A
712,C
713,A
714,A
715,C
716,B
717,D
718,A
719,C
720,A
721,D
722,A
724,C
725,A
726,D
727,A
728,D
730,A
731,B
732,A
733,A
735,A
736,B
737,A
738,A
739,B
741,B
742,C
743,A
744,D
745,A
747,D
748,A
749,A
750,D
751,D
752,A
753,C
754,B
755,A
756,A
758,B
759,A
760,C
762,B
763,A
764,A
765,A
766,B
767,C
768,A
769,A
771,A
772,C
773,D
774,C
775,A
776,B
777,C
780,C
781,A
782,A
785,D
786,A
787,A
788,A
789,A
790,B
791,A
792,A
794,A
795,B
797,A
798,D
799,A
800,D
801,A
802,A
803,D
804,C
806,D
807,A
808,D
810,A
811,A
812,A
814,A
815,A
816,A
817,A
818,C
819,A
820,C
822,C
823,A
824,A
825,A
826,D
829,A
830,D
831,C
832,D
833,A
985,A
986,A
987,D
988,A
989,D
991,A
992,C
993,C
